Nome,total (1000 pessoas),Nível de ocupação das pessoas de 14 anos de idade ou mais (%),Taxa de desocupação das pessoas de 14 anos de idade ou mais (%),"Proporção de pessoas com rendimento domiciliar per capita abaixo de US$ 6,85 PPC 2017 (%)",Proporção de pessoas vivendo em domicílios com esgotamento por rede coletora ou pluvial (%),Proporção de pessoas vivendo em domicílios com máquina de lavar roupa (%),Proporção de pessoas vivendo em domicílios com acesso à Internet (%),"Proporção de pessoas de 18 a 29 anos de idade com no mínimo 12 anos de
estudo (%)",Ano
Litoral Sul de Sergipe,404.0091077664808,47.769741821968765,12.36278353019338,51.5233934775989,7.98100746689286,26.524683410454312,90.0812214048272,54.72093451145734,2023
Litoral Norte de Sergipe,518.5852075378601,52.15689161746201,10.6834277685404,51.118363115408954,42.90501870025399,37.80579849085385,90.44948098299095,50.14609181070121,2023
Agreste e Sertão de Sergipe,448.0156847192295,47.7838902317237,8.151209982907101,56.169919140727984,28.394374237132517,23.76348315576957,89.00320456954424,49.62944310036859,2023
Salvador,2925.132000240345,56.65934155476873,13.70592885386122,34.40254609514397,97.04274832691264,60.52466174666601,94.92097603905637,78.38596518649159,2023
Entorno metropolitano de Salvador,1106.9010000219719,53.86768219040483,17.469939324065276,37.944541343617544,75.77204904810978,43.170236511930824,93.14061928902336,74.74402184363147,2023
Litoral Sul da Bahia,1998.4038016540783,53.72500524082818,11.030816145108057,43.75407380866376,60.27194750991209,35.775665585497926,87.10795434516672,55.13384973070376,2023
Litoral Norte e Recôncavo da Bahia,1153.0386836353427,48.94864698428857,13.87674098201975,50.26452819612127,38.48981150359112,36.03921272124038,90.35892252222487,62.59364999995217,2023
Centro-Norte da Bahia,2709.165713222614,46.0690517611887,12.116648242987122,47.57903282093637,41.66587635558088,31.851733768239285,90.04961744394161,63.47601897416919,2023
Oeste da Bahia,664.1240674241592,45.59728425288987,10.171836498221404,54.44510016229172,19.7408393732533,29.369884007759456,90.33819817244184,71.84582527910725,2023
Vale do Rio São Francisco,1939.9948204556101,45.84057957970403,13.009589400968286,56.811726359368144,39.50405229829564,24.95157956593298,87.29361722221091,55.69446631784915,2023
Centro-Sul da Bahia,2568.3259137817113,47.82821203342936,13.579158921581811,50.24206663824496,41.392706630645286,31.609749930132335,90.36608857347633,57.19357428544147,2023
Belo Horizonte,2546.97400005217,63.444404354773226,8.306578257255614,15.7091593310926,98.93135329563103,88.39487115808906,97.16310252450184,81.86527586407698,2023
Entorno metropolitano de Belo Horizonte,2952.8310000584042,65.2857439799451,7.552792321054208,17.125497017218027,87.1047884461933,83.34199017953426,96.02080806245635,71.12337823648016,2023
Colar metropolitano de Belo Horizonte,579.2411023424294,66.77122425124834,6.746430073382218,12.691690434696154,88.83532911900147,75.21447667347911,95.94507792231153,72.04895310853244,2023
Integrada de Brasília em Minas Gerais,111.95300006038008,56.462970892821524,2.911370301182565,12.931580143865625,56.68866385785218,69.72645170673317,88.52045394697876,79.65054666550317,2023
Sul de Minas Gerais,2773.9457452227944,61.67091015838639,4.660924525634623,19.14608560301556,79.74314146146416,79.92602892522271,94.5526839530697,71.15858177797176,2023
Triângulo Mineiro,2780.8700813734877,63.20634753435474,3.5673190496423963,13.475170084984333,87.87551214102983,82.09227224362742,94.34172553825213,74.09939386385736,2023
Mata de Minas Gerais,2282.59599359346,56.2394196551245,5.541979594479193,22.137094972863398,80.94717956189581,69.3348719529379,90.22826646338096,67.62219397116077,2023
Norte de Minas Gerais,2636.8319136041614,54.37316275707404,7.265318496754927,31.88623644422779,63.21106056264722,37.50658196576883,91.15836951176587,73.37715311435264,2023
Vale do Rio Doce de Minas Gerais,2239.4198206925694,55.04146265400708,6.249456610798216,26.66045530677588,78.05298007996424,69.168883919031,93.90896137670207,72.02404006628429,2023
Central de Minas Gerais,2719.0963434540645,66.2261500762604,3.1319029373732907,15.903719238109753,84.74368775063694,71.4655806463884,91.11452430499656,65.82825662750315,2023
Vitória,386.12800001538966,58.9491081326433,6.653455172413386,12.747290755216659,99.77801642287336,90.06681060334571,96.64863612451154,81.45141727854856,2023
Entorno metropolitano de Vitória,1698.1960000324161,60.949514949907055,6.311348772859481,22.755190751824724,90.76797166072181,80.94610624744539,95.22229521587364,72.3010886916094,2023
Sul do Espírito Santo,891.6225262272429,60.28967393904383,5.714980039081352,25.938377044491357,63.39556649526843,79.92734778165139,89.96913847310614,72.82632690823549,2023
Litoral Norte do Espírito Santo,813.4115083103243,61.453523426129934,5.0093609019597665,24.0124682052706,72.15843364769535,74.5019283445724,93.02213633142419,66.61326159554162,2023
Noroeste do Espírito Santo,400.8769655075904,56.63958481556858,2.9066488384807605,23.365108788221555,68.31790404840172,76.82536360649007,92.36790771623654,68.08577007655353,2023
Rio de Janeiro,6827.168000155211,57.88005671111789,8.85744289784851,12.945429549448756,96.80385479170349,91.86010831182658,96.57617142834417,84.0660305321548,2023
Arco metropolitano de Duque de Caxias no Rio de Janeiro,1207.0681725989596,52.54430811209216,13.910770373567184,27.14083937486582,92.69940789365488,68.68670664877838,96.22186838916372,76.00320707498945,2023
Arco metropolitano de Nova Iguaçu no Rio de Janeiro,2795.2429744139235,49.64286798195878,15.524662151620841,33.869379722337584,93.42493682085075,80.68549157140797,94.37594697828804,75.04255221058256,2023
Arco metropolitano de Niterói/São Gonçalo no Rio de Janeiro,2042.2418531079559,58.95231793806506,8.095010569887567,18.508463932361106,86.31329880871283,83.85632648794136,95.15783198527988,75.65751261720774,2023
Lagos do Rio de Janeiro,876.9153474499899,51.836856050908736,10.262043048478533,26.885566947485255,55.67545631121871,75.21166461588957,93.2092366419329,68.49532987154019,2023
Serrana do Rio de Janeiro,1122.648276791814,56.33736648013272,7.736168929893409,23.14743109557192,76.9069990836339,84.15881282579197,94.3774239454022,67.89527084075081,2023
Norte Rio de Janeiro,1422.7137547072473,52.36718093525172,8.438213503683256,27.47363661879627,78.47231955613906,76.73432676258378,92.34651554625691,72.98146180406394,2023
Vale do Rio Paraíba e Costa Verde do Rio de Janeiro,1349.5116211560073,55.17827486233289,9.334933005366361,21.306093396140575,84.65576138631981,83.38175804023804,94.4092309796082,73.25695626317528,2023
São Paulo,12530.571000234553,62.99905390496974,8.560359126167098,18.016331929006547,97.53092918813931,91.15322948999437,94.3441378850026,83.4427439534638,2023
Entorno metropolitano Oriental de São Paulo,6099.837287209378,59.22280979533657,9.935713010039931,17.16302611493628,93.92551938734316,89.3788566913319,96.10021170539174,82.52772586167227,2023
Entorno metropolitano Ocidental de São Paulo,3711.1137129647886,65.27866488775875,9.340579821954593,17.460222568977848,90.11496911002827,88.82389456687316,95.28724612122022,83.6293779309977,2023
Campinas,3370.7656540298476,65.53793186708468,6.051481077075011,13.435482986856899,91.2903802325421,87.38166368281964,95.1828104300868,86.12819386860147,2023
Baixada Santista,2247.1428108494547,58.635803981313295,8.508892635914286,19.407550692528527,91.50648178316382,95.01065542291629,96.87886422752965,80.16462297744356,2023
Noroeste de São Paulo,4705.480669711405,62.659380653784616,4.487593035598263,14.257287822891527,96.74725751859809,85.55457634420824,94.39373248207072,77.72433765925376,2023
Central de São Paulo,3493.819939303131,59.98536385396263,5.7471828861721,13.167056373183055,93.5380308521219,90.58049952377509,94.3746158258089,84.25839599746041,2023
Sudoeste de São Paulo,3801.156058592728,62.26581641742765,5.840851181885679,17.352766160226288,95.11514041317375,85.1343607139888,95.06469196850693,79.25562404376879,2023
Sudeste de São Paulo,3993.122876980588,61.917350810799086,5.9000024818188415,17.974265526417227,88.32289089492369,82.14475215701661,94.36842835749664,82.01909321677957,2023
Vale do Rio Paraíba e Litoral Norte de São Paulo,3373.552990930643,63.566329105069016,6.715928684956201,13.124526477864938,88.97999265883168,88.44960828260083,96.32305607897368,83.03085964685631,2023
Curitiba,1992.492000034768,64.28269006310511,5.297009766908945,9.16523477726653,98.25053779196178,96.03119791658322,96.63874350914311,87.14132586160798,2023
Entorno metropolitano de Curitiba,1754.8210000309607,63.180382568165335,6.117075381044251,20.137736772785576,81.58832135820172,88.87696452447636,93.31117249452326,73.95405649341136,2023
Litoral e Entorno metropolitano de Curitiba,326.64497257669,62.82640143880547,4.575140093226635,20.038040471991206,77.16337759141643,89.3444379756316,93.92643320270221,71.30905965291886,2023
